"text","line_number","section","chapter_number","paragraph_number"
"",701,"text",1,5
"But look! here come more crowds, pacing straight for the water, and",702,"text",1,5
"seemingly bound for a dive. Strange! Nothing will content them but the",703,"text",1,5
"extremest limit of the land; loitering under the shady lee of yonder",704,"text",1,5
"warehouses will not suffice. No. They must get just as nigh the water",705,"text",1,5
"as they possibly can without falling in. And there they stand—miles of",706,"text",1,5
"them—leagues. Inlanders all, they come from lanes and alleys, streets",707,"text",1,5
"and avenues,—north, east, south, and west. Yet here they all unite.",708,"text",1,5
"Tell me, does the magnetic virtue of the needles of the compasses of",709,"text",1,5
"all those ships attract them thither?",710,"text",1,5
"",711,"text",1,6
"Once more. Say, you are in the country; in some high land of lakes.",712,"text",1,6
"Take almost any path you please, and ten to one it carries you down in",713,"text",1,6
"a dale, and leaves you there by a pool in the stream. There is magic in",714,"text",1,6
"it. Let the most absent-minded of men be plunged in his deepest",715,"text",1,6
"reveries—stand that man on his legs, set his feet a-going, and he will",716,"text",1,6
"infallibly lead you to water, if water there be in all that region.",717,"text",1,6
"Should you ever be athirst in the great American desert, try this",718,"text",1,6
"experiment, if your caravan happen to be supplied with a metaphysical",719,"text",1,6
"professor. Yes, as every one knows, meditation and water are wedded for",720,"text",1,6
"ever.",721,"text",1,6
"",722,"text",1,7
"But here is an artist. He desires to paint you the dreamiest, shadiest,",723,"text",1,7
"quietest, most enchanting bit of romantic landscape in all the valley",724,"text",1,7
"of the Saco. What is the chief element he employs? There stand his",725,"text",1,7
"trees, each with a hollow trunk, as if a hermit and a crucifix were",726,"text",1,7
"within; and here sleeps his meadow, and there sleep his cattle; and up",727,"text",1,7
"from yonder cottage goes a sleepy smoke. Deep into distant woodlands",728,"text",1,7
"winds a mazy way, reaching to overlapping spurs of mountains bathed in",729,"text",1,7
"their hill-side blue. But though the picture lies thus tranced, and",730,"text",1,7
"though this pine-tree shakes down its sighs like leaves upon this",731,"text",1,7
"shepherd’s head, yet all were vain, unless the shepherd’s eye were",732,"text",1,7
"fixed upon the magic stream before him. Go visit the Prairies in June,",733,"text",1,7
"when for scores on scores of miles you wade knee-deep among",734,"text",1,7
"Tiger-lilies—what is the one charm wanting?—Water—there is not a drop",735,"text",1,7
"of water there! Were Niagara but a cataract of sand, would you travel",736,"text",1,7
"your thousand miles to see it? Why did the poor poet of Tennessee, upon",737,"text",1,7
"suddenly receiving two handfuls of silver, deliberate whether to buy",738,"text",1,7
"him a coat, which he sadly needed, or invest his money in a pedestrian",739,"text",1,7
"trip to Rockaway Beach? Why is almost every robust healthy boy with a",740,"text",1,7
"robust healthy soul in him, at some time or other crazy to go to sea?",741,"text",1,7
"Why upon your first voyage as a passenger, did you yourself feel such a",742,"text",1,7
"mystical vibration, when first told that you and your ship were now out",743,"text",1,7
"of sight of land? Why did the old Persians hold the sea holy? Why did",744,"text",1,7
"the Greeks give it a separate deity, and own brother of Jove? Surely",745,"text",1,7
"all this is not without meaning. And still deeper the meaning of that",746,"text",1,7
"story of Narcissus, who because he could not grasp the tormenting, mild",747,"text",1,7
"image he saw in the fountain, plunged into it and was drowned. But that",748,"text",1,7
"same image, we ourselves see in all rivers and oceans. It is the image",749,"text",1,7
"of the ungraspable phantom of life; and this is the key to it all.",750,"text",1,7
"",751,"text",1,8
"Now, when I say that I am in the habit of going to sea whenever I begin",752,"text",1,8
"to grow hazy about the eyes, and begin to be over conscious of my",753,"text",1,8
"lungs, I do not mean to have it inferred that I ever go to sea as a",754,"text",1,8
"passenger. For to go as a passenger you must needs have a purse, and a",755,"text",1,8
"purse is but a rag unless you have something in it. Besides, passengers",756,"text",1,8
"get sea-sick—grow quarrelsome—don’t sleep of nights—do not enjoy",757,"text",1,8
"themselves much, as a general thing;—no, I never go as a passenger;",758,"text",1,8
"nor, though I am something of a salt, do I ever go to sea as a",759,"text",1,8
"Commodore, or a Captain, or a Cook. I abandon the glory and distinction",760,"text",1,8
"of such offices to those who like them. For my part, I abominate all",761,"text",1,8
"honorable respectable toils, trials, and tribulations of every kind",762,"text",1,8
"whatsoever. It is quite as much as I can do to take care of myself,",763,"text",1,8
"without taking care of ships, barques, brigs, schooners, and what not.",764,"text",1,8
"And as for going as cook,—though I confess there is considerable glory",765,"text",1,8
"in that, a cook being a sort of officer on ship-board—yet, somehow, I",766,"text",1,8
"never fancied broiling fowls;—though once broiled, judiciously",767,"text",1,8
"buttered, and judgmatically salted and peppered, there is no one who",768,"text",1,8
"will speak more respectfully, not to say reverentially, of a broiled",769,"text",1,8
"fowl than I will. It is out of the idolatrous dotings of the old",770,"text",1,8
"Egyptians upon broiled ibis and roasted river horse, that you see the",771,"text",1,8
"mummies of those creatures in their huge bake-houses the pyramids.",772,"text",1,8
"",773,"text",1,9
"No, when I go to sea, I go as a simple sailor, right before the mast,",774,"text",1,9
"plumb down into the forecastle, aloft there to the royal mast-head.",775,"text",1,9
"True, they rather order me about some, and make me jump from spar to",776,"text",1,9
"spar, like a grasshopper in a May meadow. And at first, this sort of",777,"text",1,9
"thing is unpleasant enough. It touches one’s sense of honor,",778,"text",1,9
"particularly if you come of an old established family in the land, the",779,"text",1,9
"van Rensselaers, or Randolphs, or Hardicanutes. And more than all, if",780,"text",1,9
"just previous to putting your hand into the tar-pot, you have been",781,"text",1,9
"lording it as a country schoolmaster, making the tallest boys stand in",782,"text",1,9
"awe of you. The transition is a keen one, I assure you, from the",783,"text",1,9
"schoolmaster to a sailor, and requires a strong decoction of Seneca and",784,"text",1,9
"the Stoics to enable you to grin and bear it. But even this wears off",785,"text",1,9
"in time.",786,"text",1,9
"",787,"text",1,10
"What of it, if some old hunks of a sea-captain orders me to get a broom",788,"text",1,10
"and sweep down the decks? What does that indignity amount to, weighed,",789,"text",1,10
"I mean, in the scales of the New Testament? Do you think the archangel",790,"text",1,10
"Gabriel thinks anything the less of me, because I promptly and",791,"text",1,10
"respectfully obey that old hunks in that particular instance? Who aint",792,"text",1,10
"a slave? Tell me that. Well, then, however the old sea-captains may",793,"text",1,10
"order me about—however they may thump and punch me about, I have the",794,"text",1,10
"satisfaction of knowing that it is all right; that everybody else is",795,"text",1,10
"one way or other served in much the same way—either in a physical or",796,"text",1,10
"metaphysical point of view, that is; and so the universal thump is",797,"text",1,10
"passed round, and all hands should rub each other’s shoulder-blades,",798,"text",1,10
"and be content.",799,"text",1,10
"",800,"text",1,11
"Again, I always go to sea as a sailor, because they make a point of",801,"text",1,11
"paying me for my trouble, whereas they never pay passengers a single",802,"text",1,11
"penny that I ever heard of. On the contrary, passengers themselves must",803,"text",1,11
"pay. And there is all the difference in the world between paying and",804,"text",1,11
"being paid. The act of paying is perhaps the most uncomfortable",805,"text",1,11
"infliction that the two orchard thieves entailed upon us. But _being",806,"text",1,11
"paid_,—what will compare with it? The urbane activity with which a man",807,"text",1,11
"receives money is really marvellous, considering that we so earnestly",808,"text",1,11
"believe money to be the root of all earthly ills, and that on no",809,"text",1,11
"account can a monied man enter heaven. Ah! how cheerfully we consign",810,"text",1,11
"ourselves to perdition!",811,"text",1,11
"",812,"text",1,12
"Finally, I always go to sea as a sailor, because of the wholesome",813,"text",1,12
"exercise and pure air of the forecastle deck. For as in this world,",814,"text",1,12
"head winds are far more prevalent than winds from astern (that is, if",815,"text",1,12
"you never violate the Pythagorean maxim), so for the most part the",816,"text",1,12
"Commodore on the quarter-deck gets his atmosphere at second hand from",817,"text",1,12
"the sailors on the forecastle. He thinks he breathes it first; but not",818,"text",1,12
"so. In much the same way do the commonalty lead their leaders in many",819,"text",1,12
"other things, at the same time that the leaders little suspect it. But",820,"text",1,12
"wherefore it was that after having repeatedly smelt the sea as a",821,"text",1,12
"merchant sailor, I should now take it into my head to go on a whaling",822,"text",1,12
"voyage; this the invisible police officer of the Fates, who has the",823,"text",1,12
"constant surveillance of me, and secretly dogs me, and influences me in",824,"text",1,12
"some unaccountable way—he can better answer than any one else. And,",825,"text",1,12
"doubtless, my going on this whaling voyage, formed part of the grand",826,"text",1,12
"programme of Providence that was drawn up a long time ago. It came in",827,"text",1,12
"as a sort of brief interlude and solo between more extensive",828,"text",1,12
"performances. I take it that this part of the bill must have run",829,"text",1,12
"something like this:",830,"text",1,12
"",831,"text",1,13
"“_Grand Contested Election for the Presidency of the United States._",832,"text",1,13
"“WHALING VOYAGE BY ONE ISHMAEL.",833,"text",1,13
"“BLOODY BATTLE IN AFFGHANISTAN.”",834,"text",1,13
"",835,"text",1,14
"Though I cannot tell why it was exactly that those stage managers, the",836,"text",1,14
"Fates, put me down for this shabby part of a whaling voyage, when",837,"text",1,14
"others were set down for magnificent parts in high tragedies, and short",838,"text",1,14
"and easy parts in genteel comedies, and jolly parts in farces—though I",839,"text",1,14
"cannot tell why this was exactly; yet, now that I recall all the",840,"text",1,14
"circumstances, I think I can see a little into the springs and motives",841,"text",1,14
"which being cunningly presented to me under various disguises, induced",842,"text",1,14
"me to set about performing the part I did, besides cajoling me into the",843,"text",1,14
"delusion that it was a choice resulting from my own unbiased freewill",844,"text",1,14
"and discriminating judgment.",845,"text",1,14
"",846,"text",1,15
"Chief among these motives was the overwhelming idea of the great whale",847,"text",1,15
"himself. Such a portentous and mysterious monster roused all my",848,"text",1,15
"curiosity. Then the wild and distant seas where he rolled his island",849,"text",1,15
"bulk; the undeliverable, nameless perils of the whale; these, with all",850,"text",1,15
"the attending marvels of a thousand Patagonian sights and sounds,",851,"text",1,15
"helped to sway me to my wish. With other men, perhaps, such things",852,"text",1,15
"would not have been inducements; but as for me, I am tormented with an",853,"text",1,15
"everlasting itch for things remote. I love to sail forbidden seas, and",854,"text",1,15
"land on barbarous coasts. Not ignoring what is good, I am quick to",855,"text",1,15
"perceive a horror, and could still be social with it—would they let",856,"text",1,15
"me—since it is but well to be on friendly terms with all the inmates of",857,"text",1,15
"the place one lodges in.",858,"text",1,15
"",859,"text",1,16
"By reason of these things, then, the whaling voyage was welcome; the",860,"text",1,16
"great flood-gates of the wonder-world swung open, and in the wild",861,"text",1,16
"conceits that swayed me to my purpose, two and two there floated into",862,"text",1,16
"my inmost soul, endless processions of the whale, and, mid most of them",863,"text",1,16
"all, one grand hooded phantom, like a snow hill in the air.",864,"text",1,16
"",865,"text",1,17
"",866,"text",1,18
"",867,"text",1,19
"",868,"text",1,20
"CHAPTER II. THE CARPET-BAG",869,"text",2,20
"",870,"text",2,21
"",871,"text",2,22
"I stuffed a shirt or two into my old carpet-bag, tucked it under my",872,"text",2,22
"arm, and started for Cape Horn and the Pacific. Quitting the good city",873,"text",2,22
"of old Manhatto, I duly arrived in New Bedford. It was on a Saturday",874,"text",2,22
"night in December. Much was I disappointed upon learning that the",875,"text",2,22
"little packet for Nantucket had already sailed, and that no way of",876,"text",2,22
"reaching that place would offer, till the following Monday.",877,"text",2,22
"",878,"text",2,23
"As most young candidates for the pains and penalties of whaling stop at",879,"text",2,23
"this same New Bedford, thence to embark on their voyage, it may as well",880,"text",2,23
"be related that I, for one, had no idea of so doing. For my mind was",881,"text",2,23
"made up to sail in no other than a Nantucket craft, because there was a",882,"text",2,23
"fine, boisterous something about everything connected with that famous",883,"text",2,23
"old island, which amazingly pleased me. Besides though New Bedford has",884,"text",2,23
"of late been gradually monopolizing the business of whaling, and though",885,"text",2,23
"in this matter poor old Nantucket is now much behind her, yet Nantucket",886,"text",2,23
"was her great original—the Tyre of this Carthage;—the place where the",887,"text",2,23
"first dead American whale was stranded. Where else but from Nantucket",888,"text",2,23
"did those aboriginal whalemen, the Red-Men, first sally out in canoes",889,"text",2,23
"to give chase to the Leviathan? And where but from Nantucket, too, did",890,"text",2,23
"that first adventurous little sloop put forth, partly laden with",891,"text",2,23
"imported cobble-stones—so goes the story—to throw at the whales, in",892,"text",2,23
"order to discover when they were nigh enough to risk a harpoon from the",893,"text",2,23
"bowsprit?",894,"text",2,23
"",895,"text",2,24
"Now having a night, a day, and still another night following before me",896,"text",2,24
"in New Bedford, ere I could embark for my destined port, it became a",897,"text",2,24
"matter of concernment where I was to eat and sleep meanwhile. It was a",898,"text",2,24
"very dubious-looking, nay, a very dark and dismal night, bitingly cold",899,"text",2,24
"and cheerless. I knew no one in the place. With anxious grapnels I had",900,"text",2,24
"sounded my pocket, and only brought up a few pieces of silver,—So,",901,"text",2,24
"wherever you go, Ishmael, said I to myself, as I stood in the middle of",902,"text",2,24
"a dreary street shouldering my bag, and comparing the gloom towards the",903,"text",2,24
"north with the darkness towards the south—wherever in your wisdom you",904,"text",2,24
"may conclude to lodge for the night, my dear Ishmael, be sure to",905,"text",2,24
"inquire the price, and don’t be too particular.",906,"text",2,24
"",907,"text",2,25
"With halting steps I paced the streets, and passed the sign of “The",908,"text",2,25
"Crossed Harpoons”—but it looked too expensive and jolly there. Further",909,"text",2,25
"on, from the bright red windows of the “Sword-Fish Inn,” there came",910,"text",2,25
"such fervent rays, that it seemed to have melted the packed snow and",911,"text",2,25
"ice from before the house, for everywhere else the congealed frost lay",912,"text",2,25
"ten inches thick in a hard, asphaltic pavement,—rather weary for me,",913,"text",2,25
"when I struck my foot against the flinty projections, because from",914,"text",2,25
"hard, remorseless service the soles of my boots were in a most",915,"text",2,25
"miserable plight. Too expensive and jolly, again thought I, pausing one",916,"text",2,25
"moment to watch the broad glare in the street, and hear the sounds of",917,"text",2,25
"the tinkling glasses within. But go on, Ishmael, said I at last; don’t",918,"text",2,25
"you hear? get away from before the door; your patched boots are",919,"text",2,25
"stopping the way. So on I went. I now by instinct followed the streets",920,"text",2,25
"that took me waterward, for there, doubtless, were the cheapest, if not",921,"text",2,25
"the cheeriest inns.",922,"text",2,25
"",923,"text",2,26
"Such dreary streets! Blocks of blackness, not houses, on either hand,",924,"text",2,26
"and here and there a candle, like a candle moving about in a tomb. At",925,"text",2,26
"this hour of the night, of the last day of the week, that quarter of",926,"text",2,26
"the town proved all but deserted. But presently I came to a smoky light",927,"text",2,26
"proceeding from a low, wide building, the door of which stood",928,"text",2,26
"invitingly open. It had a careless look, as if it were meant for the",929,"text",2,26
"uses of the public; so, entering, the first thing I did was to stumble",930,"text",2,26
"over an ash-box in the porch. Ha! thought I, ha, as the flying",931,"text",2,26
"particles almost choked me, are these ashes from that destroyed city,",932,"text",2,26
"Gomorrah? But “The Crossed Harpoons,” and “The Sword-Fish?”—this, then,",933,"text",2,26
"must needs be the sign of “The Trap.” However, I picked myself up and",934,"text",2,26
"hearing a loud voice within, pushed on and opened a second, interior",935,"text",2,26
"door.",936,"text",2,26
"",937,"text",2,27
"It seemed the great Black Parliament sitting in Tophet. A hundred black",938,"text",2,27
"faces turned round in their rows to peer; and beyond, a black Angel of",939,"text",2,27
"Doom was beating a book in a pulpit. It was a negro church; and the",940,"text",2,27
"preacher’s text was about the blackness of darkness, and the weeping",941,"text",2,27
"and wailing and teeth-gnashing there. Ha, Ishmael, muttered I, backing",942,"text",2,27
"out, Wretched entertainment at the sign of “The Trap!”",943,"text",2,27
"",944,"text",2,28
"Moving on, I at last came to a dim sort of light not far from the",945,"text",2,28
"docks, and heard a forlorn creaking in the air; and looking up, saw a",946,"text",2,28
"swinging sign over the door with a white painting upon it, faintly",947,"text",2,28
"representing a tall straight jet of misty spray, and these words",948,"text",2,28
"underneath—“The Spouter-Inn:—Peter Coffin.”",949,"text",2,28
"",950,"text",2,29
"Coffin?—Spouter?—Rather ominous in that particular connexion, thought",951,"text",2,29
"I. But it is a common name in Nantucket, they say, and I suppose this",952,"text",2,29
"Peter here is an emigrant from there. As the light looked so dim, and",953,"text",2,29
"the place, for the time, looked quiet enough, and the dilapidated",954,"text",2,29
"little wooden house itself looked as if it might have been carted here",955,"text",2,29
"from the ruins of some burnt district, and as the swinging sign had a",956,"text",2,29
"poverty-stricken sort of creak to it, I thought that here was the very",957,"text",2,29
"spot for cheap lodgings, and the best of pea coffee.",958,"text",2,29
"",959,"text",2,30
"It was a queer sort of place—a gable-ended old house, one side palsied",960,"text",2,30
"as it were, and leaning over sadly. It stood on a sharp bleak corner,",961,"text",2,30
"where that tempestuous wind Euroclydon kept up a worse howling than",962,"text",2,30
"ever it did about poor Paul’s tossed craft. Euroclydon, nevertheless,",963,"text",2,30
"is a mighty pleasant zephyr to any one in-doors, with his feet on the",964,"text",2,30
"hob quietly toasting for bed. “In judging of that tempestuous wind",965,"text",2,30
"called Euroclydon,” says an old writer—of whose works I possess the",966,"text",2,30
"only copy extant—“it maketh a marvellous difference, whether thou",967,"text",2,30
"lookest out at it from a glass window where the frost is all on the",968,"text",2,30
"outside, or whether thou observest it from that sashless window, where",969,"text",2,30
"the frost is on both sides, and of which the wight Death is the only",970,"text",2,30
"glazier.” True enough, thought I, as this passage occurred to my",971,"text",2,30
"mind—old black-letter, thou reasonest well. Yes, these eyes are",972,"text",2,30
"windows, and this body of mine is the house. What a pity they didn’t",973,"text",2,30
"stop up the chinks and the crannies though, and thrust in a little lint",974,"text",2,30
"here and there. But it’s too late to make any improvements now. The",975,"text",2,30
"universe is finished; the copestone is on, and the chips were carted",976,"text",2,30
"off a million years ago. Poor Lazarus there, chattering his teeth",977,"text",2,30
"against the curbstone for his pillow, and shaking off his tatters with",978,"text",2,30
"his shiverings, he might plug up both ears with rags, and put a",979,"text",2,30
"corn-cob into his mouth, and yet that would not keep out the",980,"text",2,30
"tempestuous Euroclydon. Euroclydon! says old Dives, in his red silken",981,"text",2,30
"wrapper—(he had a redder one afterwards) pooh, pooh! What a fine frosty",982,"text",2,30
"night; how Orion glitters; what northern lights! Let them talk of their",983,"text",2,30
"oriental summer climes of everlasting conservatories; give me the",984,"text",2,30
"privilege of making my own summer with my own coals.",985,"text",2,30
"",986,"text",2,31
"But what thinks Lazarus? Can he warm his blue hands by holding them up",987,"text",2,31
"to the grand northern lights? Would not Lazarus rather be in Sumatra",988,"text",2,31
"than here? Would he not far rather lay him down lengthwise along the",989,"text",2,31
"line of the equator; yea, ye gods! go down to the fiery pit itself, in",990,"text",2,31
"order to keep out this frost?",991,"text",2,31
"",992,"text",2,32
"Now, that Lazarus should lie stranded there on the curbstone before the",993,"text",2,32
"door of Dives, this is more wonderful than that an iceberg should be",994,"text",2,32
"moored to one of the Moluccas. Yet Dives himself, he too lives like a",995,"text",2,32
"Czar in an ice palace made of frozen sighs, and being a president of a",996,"text",2,32
"temperance society, he only drinks the tepid tears of orphans.",997,"text",2,32
"",998,"text",2,33
"But no more of this blubbering now, we are going a-whaling, and there",999,"text",2,33
"is plenty of that yet to come. Let us scrape the ice from our frosted",1000,"text",2,33
"feet, and see what sort of a place this “Spouter” may be.",1001,"text",2,33
"",1002,"text",2,34
"",1003,"text",2,35
"",1004,"text",2,36
"",1005,"text",2,37
"CHAPTER III. THE SPOUTER-INN",1006,"text",3,37
"",1007,"text",3,38
"",1008,"text",3,39
"Entering that gable-ended Spouter-Inn, you found yourself in a wide,",1009,"text",3,39
"low, straggling entry with old-fashioned wainscots, reminding one of",1010,"text",3,39
"the bulwarks of some condemned old craft. On one side hung a very large",1011,"text",3,39
"oil-painting so thoroughly besmoked, and every way defaced, that in the",1012,"text",3,39
"unequal cross-lights by which you viewed it, it was only by diligent",1013,"text",3,39
"study and a series of systematic visits to it, and careful inquiry of",1014,"text",3,39
"the neighbors, that you could any way arrive at an understanding of its",1015,"text",3,39
"purpose. Such unaccountable masses of shades and shadows, that at first",1016,"text",3,39
"you almost thought some ambitious young artist, in the time of the New",1017,"text",3,39
"England hags, had endeavored to delineate chaos bewitched. But by dint",1018,"text",3,39
"of much and earnest contemplation, and oft repeated ponderings, and",1019,"text",3,39
"especially by throwing open the little window towards the back of the",1020,"text",3,39
"entry, you at last come to the conclusion that such an idea, however",1021,"text",3,39
"wild, might not be altogether unwarranted.",1022,"text",3,39
"",1023,"text",3,40
"But what most puzzled and confounded you was a long, limber,",1024,"text",3,40
"portentous, black mass of something hovering in the centre of the",1025,"text",3,40
"picture over three blue, dim, perpendicular lines floating in a",1026,"text",3,40
"nameless yeast. A boggy, soggy, squitchy picture truly, enough to drive",1027,"text",3,40
"a nervous man distracted. Yet was there a sort of indefinite,",1028,"text",3,40
"half-attained, unimaginable sublimity about it that fairly froze you to",1029,"text",3,40
"it, till you involuntarily took an oath with yourself to find out what",1030,"text",3,40
"that marvellous painting meant. Ever and anon a bright, but, alas,",1031,"text",3,40
"deceptive idea would dart you through.—It’s the Black Sea in a midnight",1032,"text",3,40
"gale.—It’s the unnatural combat of the four primal elements.—It’s a",1033,"text",3,40
"blasted heath.—It’s a Hyperborean winter scene.—It’s the breaking-up of",1034,"text",3,40
"the ice-bound stream of Time. But at last all these fancies yielded to",1035,"text",3,40
"that one portentous something in the picture’s midst. _That_ once found",1036,"text",3,40
"out, and all the rest were plain. But stop; does it not bear a faint",1037,"text",3,40
"resemblance to a gigantic fish? even the great leviathan himself?",1038,"text",3,40
"",1039,"text",3,41
"In fact, the artist’s design seemed this: a final theory of my own,",1040,"text",3,41
"partly based upon the aggregated opinions of many aged persons with",1041,"text",3,41
"whom I conversed upon the subject. The picture represents a Cape-Horner",1042,"text",3,41
"in a great hurricane; the half-foundered ship weltering there with its",1043,"text",3,41
"three dismantled masts alone visible; and an exasperated whale,",1044,"text",3,41
"purposing to spring clean over the craft, is in the enormous act of",1045,"text",3,41
"impaling himself upon the three mast-heads.",1046,"text",3,41
"",1047,"text",3,42
"The opposite wall of this entry was hung all over with a heathenish",1048,"text",3,42
"array of monstrous clubs and spears. Some were thickly set with",1049,"text",3,42
"glittering teeth resembling ivory saws; others were tufted with knots",1050,"text",3,42
"of human hair; and one was sickle-shaped, with a vast handle sweeping",1051,"text",3,42
"round like the segment made in the new-mown grass by a long-armed",1052,"text",3,42
"mower. You shuddered as you gazed, and wondered what monstrous cannibal",1053,"text",3,42
"and savage could ever have gone a death-harvesting with such a hacking,",1054,"text",3,42
"horrifying implement. Mixed with these were rusty old whaling lances",1055,"text",3,42
"and harpoons all broken and deformed. Some were storied weapons. With",1056,"text",3,42
"this once long lance, now wildly elbowed, fifty years ago did Nathan",1057,"text",3,42
"Swain kill fifteen whales between a sunrise and a sunset. And that",1058,"text",3,42
"harpoon—so like a corkscrew now—was flung in Javan seas, and run away",1059,"text",3,42
"with by a whale, years afterward slain off the Cape of Blanco. The",1060,"text",3,42
"original iron entered nigh the tail, and, like a restless needle",1061,"text",3,42
"sojourning in the body of a man, travelled full forty feet, and at last",1062,"text",3,42
"was found imbedded in the hump.",1063,"text",3,42
"",1064,"text",3,43
"Crossing this dusky entry, and on through yon low-arched way—cut",1065,"text",3,43
"through what in old times must have been a great central chimney with",1066,"text",3,43
"fire-places all round—you enter the public room. A still duskier place",1067,"text",3,43
"is this, with such low ponderous beams above, and such old wrinkled",1068,"text",3,43
"planks beneath, that you would almost fancy you trod some old craft’s",1069,"text",3,43
"cockpits, especially of such a howling night, when this corner-anchored",1070,"text",3,43
"old ark rocked so furiously. On one side stood a long, low, shelf-like",1071,"text",3,43
"table covered with cracked glass cases, filled with dusty rarities",1072,"text",3,43
"gathered from this wide world’s remotest nooks. Projecting from the",1073,"text",3,43
"further angle of the room stands a dark-looking den—the bar—a rude",1074,"text",3,43
"attempt at a right whale’s head. Be that how it may, there stands the",1075,"text",3,43
"vast arched bone of the whale’s jaw, so wide, a coach might almost",1076,"text",3,43
"drive beneath it. Within are shabby shelves, ranged round with old",1077,"text",3,43
"decanters, bottles, flasks; and in those jaws of swift destruction,",1078,"text",3,43
"like another cursed Jonah (by which name indeed they called him),",1079,"text",3,43
"bustles a little withered old man, who, for their money, dearly sells",1080,"text",3,43
"the sailors deliriums and death.",1081,"text",3,43
"",1082,"text",3,44
"Abominable are the tumblers into which he pours his poison. Though true",1083,"text",3,44
"cylinders without—within, the villanous green goggling glasses",1084,"text",3,44
"deceitfully tapered downwards to a cheating bottom. Parallel meridians",1085,"text",3,44
"rudely pecked into the glass, surround these footpads’ goblets. Fill to",1086,"text",3,44
"_this_ mark, and your charge is but a penny; to _this_ a penny more;",1087,"text",3,44
"and so on to the full glass—the Cape Horn measure, which you may gulp",1088,"text",3,44
"down for a shilling.",1089,"text",3,44
"",1090,"text",3,45
"Upon entering the place I found a number of young seamen gathered about",1091,"text",3,45
"a table, examining by a dim light divers specimens of _skrimshander_. I",1092,"text",3,45
"sought the landlord, and telling him I desired to be accommodated with",1093,"text",3,45
"a room, received for answer that his house was full—not a bed",1094,"text",3,45
"unoccupied. “But avast,” he added, tapping his forehead, “you haint no",1095,"text",3,45
"objections to sharing a harpooneer’s blanket, have ye? I s’pose you are",1096,"text",3,45
"goin’ a whalin’, so you’d better get used to that sort of thing.”",1097,"text",3,45
"",1098,"text",3,46
"I told him that I never liked to sleep two in a bed; that if I should",1099,"text",3,46
"ever do so, it would depend upon who the harpooneer might be, and that",1100,"text",3,46
"if he (the landlord) really had no other place for me, and the",1101,"text",3,46
"harpooneer was not decidedly objectionable, why rather than wander",1102,"text",3,46
"further about a strange town on so bitter a night, I would put up with",1103,"text",3,46
"the half of any decent man’s blanket.",1104,"text",3,46
"",1105,"text",3,47
"“I thought so. All right; take a seat. Supper?—you want supper? Supper",1106,"text",3,47
"’ll be ready directly.”",1107,"text",3,47
"",1108,"text",3,48
"I sat down on an old wooden settle, carved all over like a bench on the",1109,"text",3,48
"Battery. At one end a ruminating tar was still further adorning it with",1110,"text",3,48
"his jack-knife, stooping over and diligently working away at the space",1111,"text",3,48
"between his legs. He was trying his hand at a ship under full sail, but",1112,"text",3,48
"he didn’t make much headway, I thought.",1113,"text",3,48
"",1114,"text",3,49
